,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
V112,0.10236502075011378,0.00047002189,53.0,314.0,183.5,True
V4,0.07959732845160372,0.0007930393,110.0,258.0,184.0,True
dist1,0.007004046487092408,0.002042043,258.0,111.0,184.5,False
V257,0.10525134485004528,0.0004139279,49.0,320.0,184.5,True
V80,0.010679596988850237,0.0017007227,224.0,147.0,185.5,False
V158,0.07742745471853585,0.00078082614,117.0,260.0,188.5,False
V195,0.10478733437719845,0.00038124545,50.0,329.0,189.5,True
V125,0.07208609646715369,0.0008318967,130.0,250.0,190.0,False
D6,0.006540252965176352,0.0019759566,264.0,117.0,190.5,False
id_19,0.08316186892329003,0.00068482704,102.0,280.0,191.0,False
V335,0.0007179561838743798,0.0065252795,359.0,23.0,191.0,True
FE_D14_normalized,0.07863489248200406,0.0007470853,113.0,270.0,191.5,True
V141,0.0005870330185733241,0.007011056,366.0,21.0,193.5,True
V107,0.13003989242710812,0.0,12.0,376.0,194.0,True
V46,0.08365299670346926,0.00059335295,100.0,288.0,194.0,False
V8,0.12998121586976008,0.0,13.0,376.0,194.5,True
V171,0.06994856489523582,0.00078646484,131.0,259.0,195.0,False
V200,0.09928596611958318,0.00029330928,57.0,337.0,197.0,True
V191,0.10741457026180157,7.819939e-05,42.0,354.0,198.0,True
V88,0.1207110308210968,0.0,21.0,376.0,198.5,True
V259,0.08009199481902485,0.0005843825,107.0,291.0,199.0,False
V186,0.10131852762876603,0.00024214834,54.0,344.0,199.0,True
V307,0.006358444260097018,0.0017991185,266.0,133.0,199.5,False
V285,0.0026572197508594186,0.0025902933,320.0,80.0,200.0,False
V252,0.10717980661274185,4.3217045e-05,44.0,356.0,200.0,True
